Población;Latitud;Longitud
Adrada (La);40.29935;-4.634857
Arenal (El);40.26487;-5.087197
Arenas de San Pedro;40.20872;-5.091141
Arévalo;41.06443;-4.721681
Ávila;40.65642;-4.700323
Barco de Ávila (El);40.35711;-5.523521
Barraco (El);40.47881;-4.638284
Burgohondo;40.41368;-4.786215
Candeleda;40.15509;-5.239784
Casavieja;40.28105;-4.766778
Cebreros;40.45507;-4.464714
Hoyo de Pinares (El);40.50175;-4.422359
Madrigal de las Altas Torres;41.08944;-4.998767
Mombeltrán;40.25992;-5.01777
Navaluenga;40.41096;-4.707685
Navas del Marqués (Las);40.60316;-4.326336
Pedro Bernardo;40.24287;-4.914765
Piedrahíta;40.46339;-5.328194
Piedralaves;40.31736;-4.69809
Sotillo de la Adrada;40.29404;-4.585647
Tiemblo (El);40.41628;-4.503831
Alfoz de Quintanadueñas;42.38503;-3.734942
Aranda de Duero;41.67171;-3.686569
Arcos;42.26453;-3.755465
Belorado;42.42041;-3.189796
Briviesca;42.55029;-3.323369
Burgos;42.34087;-3.699731
Cardeñadijo;42.2997;-3.665262
Condado de Treviño;42.7349;-2.74691
Espinosa de los Monteros;43.07687;-3.552301
Huerta de Rey;41.83988;-3.349127
Ibeas de Juarros;42.33124;-3.535495
Lerma;42.02583;-3.75596
Medina de Pomar;42.92837;-3.487223
Melgar de Fernamental;42.40352;-4.244519
Merindad de Río Ubierna;42.61666;-3.65
Miranda de Ebro;42.68734;-2.947593
Oña;42.73478;-3.414072
Pradoluengo;42.3237;-3.200787
Quintanar de la Sierra;41.98133;-3.040702
Roa;41.69711;-3.928005
Salas de los Infantes;42.02327;-3.286438
Sasamón;42.41784;-4.043491
Trespaderne;42.8019;-3.391455
Valle de Mena;43.1;-3.283333
Valle de Tobalina;42.792;-3.271
Villadiego;42.51575;-4.010096
Villagonzalo Pedernales;42.30135;-3.736424
Villarcayo de Merindad de Castilla la Vieja;42.9383;-3.572985
Astorga;42.4589;-6.063526
Bañeza (La);42.29755;-5.90192
Bembibre;42.61572;-6.416451
Benavides;42.5;-5.9
Boñar;42.86674;-5.322935
Bustillo del Páramo;42.44134;-5.791799
